0,189928,185670,188868,190750,186617,191576,188801,190248,189303,192094
1,167098,166363,158473,166647,161202,169303,161885,164673,163733,155601
2,164619,164243,156485,164783,159641,158706,160133,161782,158193,152998
3,158008,146915,148935,161754,145806,156192,157071,161695,156060,152998
4,153001,146915,148182,155088,145806,152314,153719,154177,156060,152998
5,150197,139244,148182,150300,142105,151854,146859,152951,152076,150862
6,149332,139244,144689,150102,140686,148419,145178,143648,148009,149338
7,142422,139244,142113,147619,138933,147497,143013,141426,144724,139049
8,142422,136024,138607,146563,138933,145431,133387,141426,143864,139049
9,137254,133796,138607,146356,138933,142351,131573,140688,143864,136880
10,137254,133796,135992,144391,138933,142351,131097,138515,139171,136880
11,137254,133796,134993,142197,137966,140246,125009,130685,138505,136880
12,136904,132421,134993,139481,137966,138690,122771,128139,134152,132909
13,136904,132421,132243,135074,136470,137917,121877,128139,133192,132909
14,132299,128473,132243,135074,136470,137258,121700,127771,133192,130904
15,132299,128473,132243,133069,135486,136014,121700,126118,131190,130904
16,130710,127942,128407,133069,134549,136014,121700,126118,131190,130904
17,128048,126395,128389,129247,131949,136014,120780,126043,125221,130030
18,125823,125949,127646,129105,129427,135765,120780,122141,125221,128733
19,125823,125460,126530,129105,127701,135094,120694,121189,125221,128059
20,123529,122240,126530,129105,127701,133676,120694,120855,125221,128059
21,121294,121780,121000,124999,127677,131536,120694,120855,125221,126022
22,119019,121780,121000,124597,127677,130231,120644,120459,122319,125583
23,119019,121780,121000,124597,126682,125544,120055,118351,122271,125583
24,119019,121259,119991,124597,126604,125544,117836,118351,119425,123951
25,118705,121259,119192,123888,122737,125544,117836,118302,119340,123926
26,116982,120923,119192,120801,119091,125544,117836,118302,119340,123681
27,116982,120923,119192,120711,114483,121544,117715,116865,119340,122469
28,114171,116651,119192,120646,114483,121544,117715,116865,118466,119972
29,114171,116417,118851,120646,114359,121544,115995,116865,118466,118669
30,114171,116103,118151,120255,114359,120468,115995,116637,118466,116270
31,114171,111380,114494,118014,113333,120468,113014,114627,117234,116270
32,114171,111380,113825,118014,112361,120325,113014,114627,114806,116270
33,114171,107762,112981,117295,112361,120325,112792,113931,112732,114718
34,114171,107762,111471,117295,111369,120325,111128,112793,111437,114718
35,112635,105181,111471,116709,111369,117675,111128,110097,111004,113030
36,111971,104148,111471,116101,111369,117061,111128,110097,107047,112364
37,111971,104148,111471,114333,111369,112075,111128,108626,107047,111562
38,111971,104148,110408,114333,110359,112075,111128,107559,105673,111562
39,111240,104148,110408,112376,110359,110803,109364,107559,105673,111067
40,111240,104148,109689,111874,110359,109608,109364,107278,105673,111067
41,110989,104148,109689,111494,110359,109002,108045,106588,105673,110059
42,110989,104024,109689,109273,108396,108751,107514,106465,105673,110059
43,110989,104024,109689,108688,108396,108751,106196,103680,105673,108885
44,109972,104024,109689,108688,108265,108751,106196,102257,104158,108885
45,109485,103234,108939,108688,107882,108751,103671,102148,104158,105688
46,109485,102718,107935,108688,104662,108751,103671,102148,104158,105688
47,109485,102718,107935,108688,102631,105524,103671,99688,104158,105643
48,109312,102612,107892,108669,101789,105524,103671,98679,104158,105643
49,107791,102067,107892,105039,101118,105257,103647,97874,104158,105643
50,107791,102067,106719,105039,101118,105257,103042,97874,101644,105127
51,107265,101336,106719,105039,101118,104028,100298,97874,101644,102488
52,105235,101336,105651,104963,100938,104028,98924,97874,101644,102488
53,105235,101336,105080,104963,100496,104028,97032,97874,101644,102488
54,104389,98641,104847,102154,100496,102160,96544,97660,100131,101905
55,103869,98641,102550,102154,99095,102160,96544,97660,100131,101719
56,103869,98589,101579,102154,98374,102160,94623,95935,100131,100891
57,103869,98589,101579,102154,98374,102160,93615,95427,100131,100037
