0,187770,189133,192444,190626,191218,188503,188749,191373,188419,188704
1,181323,183330,188841,183626,186495,180910,184186,185769,183727,184706
2,177519,178378,182951,181220,178858,175334,181046,181606,174702,180091
3,174928,170302,182058,175631,173276,169368,175699,176192,168317,173883
4,169899,164944,180483,167716,169114,163591,167438,172224,164333,169661
5,165762,159798,173847,163243,163767,160757,163073,169607,159278,165474
6,162686,154785,170606,161325,160221,156039,159526,167037,157263,165218
7,158057,154608,164308,154669,157283,151050,153831,160752,152638,163011
8,152940,151282,160555,152826,154996,145915,151404,156663,148713,161458
9,149200,146922,157609,147817,153420,143995,147471,153273,146497,157415
10,145086,144862,151554,141831,151867,138545,140428,147792,145285,152499
11,140056,141812,147089,140026,150186,135588,137612,142855,143167,147820
12,134027,141707,144695,136278,147146,131934,134787,141998,139412,146338
13,131000,139398,143697,134261,146701,128416,134771,141590,134937,146268
14,127782,136010,139562,131419,145647,126418,133556,138951,128718,142734
15,122358,132220,139527,129951,140505,123068,132078,138113,125540,141179
16,119510,129325,133482,126635,135591,121671,128821,137608,123237,140520
17,116926,127738,132847,124618,133125,121262,123311,134984,120301,137783
18,114572,123628,130817,119021,129554,119026,121372,134697,114862,136599
19,111303,122909,125145,115182,126607,117121,118318,133990,113479,132623
20,110666,120528,124182,109513,123756,114684,112919,129781,109522,127626
21,107502,118316,120845,108501,122432,108321,111796,128661,108962,125703
22,103890,115476,114263,108501,118349,103315,111073,126460,104162,123955
23,101605,112731,112604,106521,111908,99563,110092,123219,102487,122127
24,100856,111461,109408,105960,109548,98195,108472,120404,98212,120941
25,99817,110123,108053,102091,108684,97067,106858,117856,96389,115520
26,98694,106965,105904,99441,104884,95578,104508,116895,93902,112946
27,96932,106965,103672,99441,103396,95115,102392,112766,93234,111696
28,94234,105263,102757,96825,102299,92129,99396,107044,92656,110967
29,93523,102469,100962,94513,100557,89188,98884,105778,91871,108735
30,91725,100530,99311,92907,100056,86401,96784,104673,90787,106351
31,90126,98536,98187,92434,97601,85816,95616,102663,89800,106069
32,88822,97474,96287,92102,96641,85246,94095,101238,88271,102760
33,87306,96441,95596,90213,95588,85023,92748,96843,86428,101920
34,84755,96046,94227,87909,94276,85023,89099,96384,84100,101248
35,84463,94912,91969,86859,92674,84120,88172,95552,83316,100309
36,83069,92598,90604,84803,92430,83130,88172,94412,82805,98211
37,81968,91516,88729,83440,90959,81314,87219,92906,82555,97600
38,81028,89201,88546,83440,90282,79618,86503,91963,82092,92703
39,80200,87609,86262,82866,89214,77983,85344,90182,81787,90341
40,79520,86951,85594,82866,87852,77178,84796,89904,80700,90341
41,78922,85471,83368,82598,86754,76731,83092,89531,80576,88278
42,78922,85470,80694,81566,85954,75147,82077,89195,80217,85877
43,75837,84151,79510,81461,84728,74461,81793,88708,79500,84622
44,74758,83312,79469,81123,83724,73087,80841,87305,78643,83574
45,74239,82696,76874,79969,82805,72235,78537,85491,78552,83298
46,72697,82175,75410,78335,81710,72035,78537,83328,78425,81488
47,72049,80399,73068,77244,81595,71767,77805,82356,76713,80133
48,71141,79576,70598,76595,80538,70767,76696,79566,76155,80127
49,70344,78641,70598,74523,80538,69580,75766,78819,75675,80127
50,70322,78641,70197,73050,79829,69557,75766,76479,74827,78881
51,69914,78542,69194,71861,78926,68339,75051,75439,74827,78203
