iteration,quality_00,quality_01,quality_02,quality_03,quality_04
163,56488,56941,56463,56805,56578
164,56488,56941,56463,56805,56439
165,56488,56941,56463,56805,56439
166,56488,56941,56463,56805,56439
167,56488,56941,56463,56805,56439
168,56488,56868,56463,56805,56439
169,56488,56868,56463,56805,56439
170,56488,56868,56463,56805,56439
171,56488,56868,56463,56805,56439
172,56488,56868,56463,56805,56439
173,56488,56868,56463,56805,56439
174,56488,56868,56463,56805,56439
175,56488,56868,56463,56805,56439
176,56488,56868,56463,56805,56439
177,56488,56868,56463,56805,56439
178,56488,56868,56463,56805,56439
179,56488,56868,56463,56805,56439
180,56488,56868,56463,56805,56439
181,56488,56868,56463,56805,56439
182,56488,56868,56463,56805,56439
183,56488,56868,56463,56805,56439
184,56488,56868,56463,56805,56439
185,56488,56868,56463,56805,56439
186,56488,56868,56463,56805,56439
187,56488,56868,56463,56805,56439
188,56488,56868,56463,56805,56439
189,56488,56868,56463,56805,56439
190,56488,56868,56463,56805,56439
191,56488,56868,56463,56805,56439
192,56488,56868,56463,56805,56439
193,56488,56868,56463,56805,56439
194,56488,56868,56463,56805,56439
195,56488,56868,56463,56333,56439
196,56488,56868,56463,56333,56439
197,56488,56868,56463,56333,56439
198,56488,56868,56463,56333,56439
199,56488,56868,56463,56333,56439
200,56488,56868,56463,56333,56439
201,56488,56868,56463,56333,56439
202,56488,56868,56463,56333,56329
203,56488,56868,56463,56333,56329
204,56488,56868,56463,56333,56329
205,56488,56868,56463,56333,56329
206,56488,56868,56463,56333,56329
207,56488,56868,56463,56333,56329
208,56327,56868,56463,56333,56329
209,56327,56868,56339,56333,56329
210,56327,56868,56339,56333,56329
211,56327,56868,56339,56333,56329
212,56327,56868,56339,56333,56329
213,56327,56868,56339,56333,56329
214,56327,56868,56339,56333,56329
215,56327,56868,56339,56333,56329
216,56327,56868,56339,56333,56329
217,56327,56868,56320,56333,56329
218,56327,56868,56320,56333,56329
219,56327,56868,56140,56333,56329
220,56327,56868,56140,56333,56329
221,56327,56868,56140,56333,56329
222,56327,56868,56140,56333,56329
223,56327,56868,56140,56333,56329
224,56327,56868,56140,56333,56329
225,56327,56868,56140,56333,56329
226,56327,56868,56140,56333,56329
227,56327,56749,56140,56333,56329
228,56327,56749,56140,56333,56329
229,56327,56749,56140,56333,56329
230,56327,56749,56140,56333,56329
231,56327,56749,56140,56333,56329
232,56226,56749,56140,56333,56329
233,56226,56749,56140,56333,56329
234,56226,56749,56140,56333,56329
235,56226,56749,56140,56333,56329
236,56226,56749,56140,56333,56329
237,56226,56749,56140,56333,56329
238,56226,56749,56140,56333,56329
239,56226,56749,56140,56333,56329
240,56226,56749,56140,56333,56329
241,56226,56749,56140,56333,56329
242,56226,56749,55937,56333,56329
243,56226,56749,55937,56333,56329
244,56226,56749,55937,56333,56329
245,56226,56749,55937,56333,56329
246,56226,56749,55937,56333,56329
247,56226,56749,55937,56333,56329
248,56226,56749,55937,56333,56329
249,56226,56749,55937,56333,56329
250,56226,56749,55937,56333,56329
251,56226,56749,55937,56333,56329
252,56226,56749,55937,56333,56329
253,56226,56749,55937,56333,56329
254,56226,56749,55937,56333,56329
255,56226,56749,55937,56333,56329
256,56226,56749,55937,56333,55638
257,56226,56749,55937,56333,55638
258,56226,56749,55937,56333,55638
259,56226,56749,55937,56333,55638
260,56226,56749,55937,56333,55638
261,56226,56749,55937,56094,55638
262,56226,56749,55937,56094,55638
263,56226,56749,55937,56094,55638
264,56226,55803,55937,56094,55638
265,56226,55803,55937,56094,55638
266,56226,55803,55937,56094,55638
267,56226,55803,55937,56094,55638
268,56226,55803,55937,56094,55638
269,56226,55803,55937,56094,55638
270,56226,55803,55937,56094,55638
