iteration,eil51,eil76,kroA100,gr202
102,70.18779343,123.0483271,292.5439338,41.74750996
103,70.11737089,122.267658,290.6291702,41.74750996
104,69.69483568,121.4869888,289.7890236,41.74750996
105,69.1314554,120.669145,288.0593929,41.74750996
106,69.1314554,120.5947955,287.1036557,41.74750996
107,68.19248826,119.5910781,287.0092097,41.74750996
108,67.53521127,119.5910781,286.9354384,41.74750996
109,67.53521127,119.5910781,284.5390471,41.74750996
110,67.3943662,119.2379182,284.4178179,41.74750996
111,67.23004695,118.3085502,282.0505592,41.74750996
112,67.23004695,117.732342,280.6503148,41.74750996
113,66.99530516,117.472119,280.1306268,41.74750996
114,66.1971831,117.472119,278.0922846,41.74750996
115,65.96244131,114.9256506,276.8917395,41.74750996
116,65.89201878,114.2379182,274.6588666,41.74750996
117,65.72769953,114.1078067,274.3238417,41.74750996
118,65.72769953,114.0334572,273.1585377,41.74750996
119,65.35211268,114.0334572,271.4824735,41.64840637
120,64.85915493,113.5501859,271.007894,41.64840637
121,63.68544601,113.2156134,269.5569025,41.64840637
122,62.04225352,112.8810409,266.724462,41.64840637
123,61.97183099,112.472119,265.0714219,41.64840637
124,61.85446009,112.3977695,265.0159759,41.64840637
125,61.76056338,111.7472119,265.0159759,41.64840637
126,60.79812207,111.4869888,263.1984776,41.64840637
127,60.657277,110.7806691,260.4788084,41.64840637
128,59.88262911,110.4089219,259.9953012,41.64840637
129,59.41314554,109.6468401,259.7279391,41.4875498
130,59.20187793,109.2379182,259.2890706,41.4875498
131,58.5915493,108.866171,258.7623344,41.4875498
132,58.5915493,108.6431227,257.7384644,41.37549801
133,57.84037559,108.1598513,257.5819942,41.37549801
134,57.62910798,107.2490706,256.9899446,41.37549801
135,57.0657277,107.1189591,256.3095574,41.37549801
136,56.99530516,106.3197026,255.0089277,41.31474104
137,56.38497653,106.1710037,252.9405131,41.31474104
138,56.15023474,105.669145,252.4109576,41.31474104
139,55.56338028,105.0185874,250.3636876,41.31474104
140,55.46948357,104.535316,250.1564703,41.28286853
141,55.30516432,103.4572491,249.1997933,41.26693227
142,55.11737089,103.4200743,249.1997933,41.26693227
143,54.41314554,102.8996283,249.145757,41.26693227
144,54.29577465,102.8438662,247.492247,41.26693227
145,53.4741784,102.8066914,246.4312565,41.26693227
146,52.95774648,102.8066914,245.9284842,41.26693227
147,52.55868545,102.8066914,245.7926887,41.26693227
148,52.53521127,102.6765799,245.0075181,41.12250996
149,51.85446009,102.3420074,244.2881308,41.12250996
150,51.85446009,101.4498141,243.9596842,41.12250996
151,51.59624413,101.0408922,243.0025374,41.12250996
152,50.84507042,101.0408922,242.6806691,41.12250996
153,50.657277,100.7806691,242.3569213,41.12250996
