iteration,eil51,eil76,kroA100,gr202
461,7.370892019,9.795539033,16.27055728,17.86354582
462,7.370892019,9.795539033,16.25740062,17.86354582
463,7.370892019,9.795539033,16.25740062,17.85707171
464,7.370892019,9.795539033,16.25740062,17.85707171
465,7.370892019,9.795539033,16.16671365,17.76294821
466,7.370892019,9.795539033,16.16671365,17.75323705
467,7.370892019,9.795539033,16.16671365,17.70094622
468,7.370892019,9.795539033,16.16671365,17.69671315
469,7.370892019,9.795539033,16.16671365,17.63496016
470,7.370892019,9.795539033,16.09905084,17.63496016
471,7.370892019,9.795539033,16.08025562,17.60831673
472,7.370892019,9.795539033,16.0003759,17.60831673
473,7.370892019,9.795539033,15.92425524,17.60831673
474,7.370892019,9.795539033,15.92425524,17.59810757
475,7.370892019,9.795539033,15.89465276,17.58715139
476,7.370892019,9.795539033,15.84860445,17.56523904
477,7.370892019,9.795539033,15.81853209,17.56523904
478,7.370892019,9.795539033,15.61131473,17.56299801
479,7.370892019,9.795539033,15.61131473,17.54307769
480,7.370892019,9.795539033,15.61131473,17.54307769
481,7.370892019,9.795539033,15.57889296,17.53934263
482,7.370892019,9.795539033,15.57889296,17.49775896
483,7.370892019,9.795539033,15.57889296,17.49701195
484,7.370892019,9.795539033,15.57889296,17.49701195
485,7.370892019,9.70260223,15.35100085,17.49701195
486,7.370892019,9.70260223,15.35100085,17.49302789
487,7.370892019,9.70260223,15.35100085,17.49302789
488,7.370892019,9.70260223,15.32609717,17.46738048
489,7.370892019,9.70260223,15.32374777,17.39741036
490,7.370892019,9.70260223,15.18090405,17.3874502
491,7.370892019,9.70260223,15.18090405,17.3874502
492,7.370892019,9.70260223,15.18090405,17.30826693
493,7.370892019,9.70260223,15.18090405,17.30577689
494,7.370892019,9.70260223,15.18090405,17.27813745
495,7.370892019,9.70260223,15.11840992,17.27265936
496,7.370892019,9.70260223,15.11840992,17.19770916
497,7.370892019,9.70260223,15.07565078,17.18401394
498,7.370892019,9.70260223,15.04651818,17.18401394
499,7.370892019,9.70260223,14.92340945,17.18401394
500,7.370892019,9.70260223,14.92340945,17.14093625
501,7.370892019,9.70260223,14.92340945,17.14093625
502,7.370892019,9.70260223,14.85762616,17.14093625
503,7.370892019,9.70260223,14.85762616,17.14093625
504,7.370892019,9.70260223,14.85762616,17.13296813
505,7.370892019,9.70260223,14.85762616,17.13296813
506,7.370892019,9.70260223,14.84493939,17.13296813
507,7.370892019,9.70260223,14.84493939,17.13271912
508,7.370892019,9.70260223,14.84493939,17.1185259
509,7.370892019,9.70260223,14.84493939,17.11080677
510,7.370892019,9.70260223,14.84493939,17.11080677
511,7.370892019,9.70260223,14.83507189,17.11080677
512,7.370892019,9.70260223,14.8252044,17.08167331
513,7.370892019,9.70260223,14.8252044,17.08167331
514,7.370892019,9.70260223,14.8252044,17.08167331
515,7.370892019,9.70260223,14.71948125,17.04233068
516,7.370892019,9.70260223,14.71948125,16.99327689
517,7.370892019,9.70260223,14.71948125,16.93052789
518,7.370892019,9.70260223,14.71948125,16.92604582
519,7.370892019,9.70260223,14.71948125,16.9123506
520,7.370892019,9.70260223,14.71948125,16.9123506
521,7.370892019,9.70260223,14.6941077,16.9123506
522,7.370892019,9.70260223,14.65980641,16.90836653
523,7.370892019,9.70260223,14.65980641,16.90836653
524,7.370892019,9.70260223,14.65980641,16.90836653
525,7.370892019,9.70260223,14.48078188,16.90836653
526,7.370892019,9.70260223,14.48078188,16.8939243
527,7.370892019,9.70260223,14.26792595,16.87226096
528,7.370892019,9.70260223,14.26792595,16.83914343
529,7.370892019,9.70260223,14.26792595,16.80054781
530,7.370892019,9.70260223,14.26792595,16.80054781
531,7.370892019,9.70260223,14.26792595,16.79158367
532,7.370892019,9.70260223,14.25899821,16.7562251
533,7.370892019,9.70260223,14.25899821,16.71090637
534,7.370892019,9.70260223,14.25899821,16.63047809
535,7.370892019,9.70260223,14.25899821,16.61404382
536,7.370892019,9.70260223,14.25899821,16.61404382
